Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Germany,DEU,2022-08-20 18:00:00,2022-08-20 20:00:00,553.85
Germany,DEU,2022-08-20 19:00:00,2022-08-20 21:00:00,545.01
Germany,DEU,2022-08-20 20:00:00,2022-08-20 22:00:00,523.58
Germany,DEU,2022-08-20 21:00:00,2022-08-20 23:00:00,479.67
Germany,DEU,2022-08-20 22:00:00,2022-08-21 00:00:00,442.74
Germany,DEU,2022-08-20 23:00:00,2022-08-21 01:00:00,400.17
Germany,DEU,2022-08-21 00:00:00,2022-08-21 02:00:00,384.47
Germany,DEU,2022-08-21 01:00:00,2022-08-21 03:00:00,353.25
Germany,DEU,2022-08-21 02:00:00,2022-08-21 04:00:00,331.27
Germany,DEU,2022-08-21 03:00:00,2022-08-21 05:00:00,335.04
Germany,DEU,2022-08-21 04:00:00,2022-08-21 06:00:00,353.3
Germany,DEU,2022-08-21 05:00:00,2022-08-21 07:00:00,348.08
Germany,DEU,2022-08-21 06:00:00,2022-08-21 08:00:00,348.86
Germany,DEU,2022-08-21 07:00:00,2022-08-21 09:00:00,324.26
Germany,DEU,2022-08-21 08:00:00,2022-08-21 10:00:00,261.1
Germany,DEU,2022-08-21 09:00:00,2022-08-21 11:00:00,212.22
Germany,DEU,2022-08-21 10:00:00,2022-08-21 12:00:00,128.5
Germany,DEU,2022-08-21 11:00:00,2022-08-21 13:00:00,97.48
Germany,DEU,2022-08-21 12:00:00,2022-08-21 14:00:00,105.18
Germany,DEU,2022-08-21 13:00:00,2022-08-21 15:00:00,155.07
Germany,DEU,2022-08-21 14:00:00,2022-08-21 16:00:00,269.26
Germany,DEU,2022-08-21 15:00:00,2022-08-21 17:00:00,419.04
Germany,DEU,2022-08-21 16:00:00,2022-08-21 18:00:00,512.0
Germany,DEU,2022-08-21 17:00:00,2022-08-21 19:00:00,570.99
Germany,DEU,2022-08-21 18:00:00,2022-08-21 20:00:00,594.7
Germany,DEU,2022-08-21 19:00:00,2022-08-21 21:00:00,589.61
Germany,DEU,2022-08-21 20:00:00,2022-08-21 22:00:00,572.37
Germany,DEU,2022-08-21 21:00:00,2022-08-21 23:00:00,542.12
Germany,DEU,2022-08-21 22:00:00,2022-08-22 00:00:00,500.79
Germany,DEU,2022-08-21 23:00:00,2022-08-22 01:00:00,468.83
Germany,DEU,2022-08-22 00:00:00,2022-08-22 02:00:00,459.87
Germany,DEU,2022-08-22 01:00:00,2022-08-22 03:00:00,446.18
Germany,DEU,2022-08-22 02:00:00,2022-08-22 04:00:00,447.57
Germany,DEU,2022-08-22 03:00:00,2022-08-22 05:00:00,450.7
Germany,DEU,2022-08-22 04:00:00,2022-08-22 06:00:00,546.91
Germany,DEU,2022-08-22 05:00:00,2022-08-22 07:00:00,594.63
Germany,DEU,2022-08-22 06:00:00,2022-08-22 08:00:00,569.75
Germany,DEU,2022-08-22 07:00:00,2022-08-22 09:00:00,597.97
Germany,DEU,2022-08-22 08:00:00,2022-08-22 10:00:00,589.77
Germany,DEU,2022-08-22 09:00:00,2022-08-22 11:00:00,574.29
Germany,DEU,2022-08-22 10:00:00,2022-08-22 12:00:00,527.24
Germany,DEU,2022-08-22 11:00:00,2022-08-22 13:00:00,512.85
Germany,DEU,2022-08-22 12:00:00,2022-08-22 14:00:00,525.77
Germany,DEU,2022-08-22 13:00:00,2022-08-22 15:00:00,545.77
Germany,DEU,2022-08-22 14:00:00,2022-08-22 16:00:00,573.15
Germany,DEU,2022-08-22 15:00:00,2022-08-22 17:00:00,586.83
Germany,DEU,2022-08-22 16:00:00,2022-08-22 18:00:00,630.29
Germany,DEU,2022-08-22 17:00:00,2022-08-22 19:00:00,667.48
Germany,DEU,2022-08-22 18:00:00,2022-08-22 20:00:00,672.52
Germany,DEU,2022-08-22 19:00:00,2022-08-22 21:00:00,625.56
Germany,DEU,2022-08-22 20:00:00,2022-08-22 22:00:00,582.57
Germany,DEU,2022-08-22 21:00:00,2022-08-22 23:00:00,551.72
Germany,DEU,2022-08-22 22:00:00,2022-08-23 00:00:00,554.81
Germany,DEU,2022-08-22 23:00:00,2022-08-23 01:00:00,512.41
