valid_time,latitude,longitude,u10,v10,t2m,tcc,tp,ssrd
2022-09-01 01:00:00,51.0,10.0,-1.7406158,-1.0857391,11.500519,0.067718506,0.0,0.0
2022-09-01 02:00:00,51.0,10.0,-1.6287994,-1.1935425,10.707184,0.15597534,0.0,0.0
2022-09-01 03:00:00,51.0,10.0,-1.6381073,-1.1895599,10.85965,0.24822998,0.0,0.0
2022-09-01 04:00:00,51.0,10.0,-1.9591827,-1.2674103,9.8159485,0.34371948,0.0,0.0
2022-09-01 05:00:00,51.0,10.0,-2.1691742,-1.1298523,9.659821,0.41522217,0.0,13312.0
2022-09-01 06:00:00,51.0,10.0,-2.6894531,-1.282608,11.361847,0.534729,0.0,268800.0
2022-09-01 07:00:00,51.0,10.0,-3.1745605,-1.061966,13.72757,0.73825073,0.0,298624.0
2022-09-01 08:00:00,51.0,10.0,-3.206787,-0.9575043,15.97287,0.8289795,0.0,603520.0
2022-09-01 09:00:00,51.0,10.0,-3.4092407,-0.8073425,17.997711,0.59976196,0.0,216896.0
2022-09-01 10:00:00,51.0,10.0,-3.1775055,-1.3081665,19.287994,0.13070679,0.0,449024.0
2022-09-01 11:00:00,51.0,10.0,-3.7616882,-1.3831329,20.390533,0.13647461,0.0,380224.0
2022-09-01 12:00:00,51.0,10.0,-3.8808746,-0.7259064,20.95694,0.19369507,0.0,17856.0
2022-09-01 13:00:00,51.0,10.0,-3.9183502,-0.6470032,21.093536,0.33496094,0.0,0.0
2022-09-01 14:00:00,51.0,10.0,-3.8642426,-0.6166229,21.316559,0.30496216,0.0,0.0
2022-09-01 15:00:00,51.0,10.0,-3.7362518,-0.589386,21.73111,0.4387207,0.0,64960.0
2022-09-01 16:00:00,51.0,10.0,-3.619934,-0.61213684,21.301178,0.32574463,0.0,0.0
2022-09-01 17:00:00,51.0,10.0,-3.2960358,-0.74938965,20.265778,0.36502075,0.0,0.0
2022-09-01 18:00:00,51.0,10.0,-2.8931732,-0.77464294,18.745392,0.35299683,0.0,0.0
2022-09-01 19:00:00,51.0,10.0,-3.055664,-0.6107025,16.775421,0.33599854,0.0,0.0
2022-09-01 20:00:00,51.0,10.0,-3.0953522,-0.377182,15.629059,0.355011,0.0,0.0
2022-09-01 21:00:00,51.0,10.0,-3.061081,-0.2292633,14.57608,0.3362732,0.0,0.0
2022-09-01 22:00:00,51.0,10.0,-3.3881226,0.35160828,13.684479,0.28851318,0.0,0.0
2022-09-01 23:00:00,51.0,10.0,-2.8768158,0.06782532,13.399078,0.14224243,0.0,0.0
2022-09-02 00:00:00,51.0,10.0,-2.3699646,0.002532959,12.331696,0.13372803,0.0,0.0
2022-09-02 01:00:00,51.0,10.0,-2.1753235,-0.13293457,11.891876,0.09222412,0.0,0.0
2022-09-02 02:00:00,51.0,10.0,-2.2863922,-0.19413757,11.113434,0.071746826,0.0,0.0
2022-09-02 03:00:00,51.0,10.0,-2.2822113,-0.36010742,10.26944,0.1295166,0.0,0.0
2022-09-02 04:00:00,51.0,10.0,-2.2964783,-0.4428711,9.741241,0.101745605,0.0,0.0
2022-09-02 05:00:00,51.0,10.0,-2.3294373,-0.4756012,10.111603,0.15274048,0.0,11968.0
2022-09-02 06:00:00,51.0,10.0,-2.6334686,-0.5533142,11.543854,0.2994995,0.0,262080.0
2022-09-02 07:00:00,51.0,10.0,-2.8214874,-0.05470276,13.979828,0.35873413,0.0,386240.0
2022-09-02 08:00:00,51.0,10.0,-2.9625702,0.43688965,16.429413,0.33874512,0.0,504192.0
2022-09-02 09:00:00,51.0,10.0,-3.114853,0.96832275,18.438873,0.40750122,0.0,498624.0
2022-09-02 10:00:00,51.0,10.0,-3.8420715,0.7199707,19.788727,0.8284912,0.0,368960.0
2022-09-02 11:00:00,51.0,10.0,-3.7599792,1.3692627,20.58609,0.64974976,4.7683716e-07,19968.0
2022-09-02 12:00:00,51.0,10.0,-3.5825653,1.7266388,21.236359,1.0,0.0,201408.0
2022-09-02 13:00:00,51.0,10.0,-3.768219,1.395935,21.11612,0.9995117,0.0,0.0
2022-09-02 14:00:00,51.0,10.0,-4.0187836,0.92111206,20.939606,0.9982605,0.0,0.0
2022-09-02 15:00:00,51.0,10.0,-3.9015503,0.5821533,21.03128,0.98950195,0.0,0.0
2022-09-02 16:00:00,51.0,10.0,-3.926117,-0.11453247,20.865631,0.98950195,0.0,0.0
2022-09-02 17:00:00,51.0,10.0,-3.536377,-0.6847534,20.371368,0.9952698,0.0,0.0
2022-09-02 18:00:00,51.0,10.0,-3.5566406,-0.7375641,19.139313,0.5662842,0.0,0.0
2022-09-02 19:00:00,51.0,10.0,-3.7507782,-0.2546997,17.464264,0.43676758,0.0,0.0
2022-09-02 20:00:00,51.0,10.0,-3.90065,0.16479492,16.63382,0.5287781,0.0,0.0
2022-09-02 21:00:00,51.0,10.0,-3.7524567,0.44151306,15.32962,0.13702393,0.0,0.0
2022-09-02 22:00:00,51.0,10.0,-4.2798157,1.4614563,14.845001,0.32748413,0.0,0.0
2022-09-02 23:00:00,51.0,10.0,-3.617447,1.2767792,13.812775,0.32199097,0.0,0.0
2022-09-03 00:00:00,51.0,10.0,-3.3394318,0.9993744,12.78421,0.16900635,0.0,0.0
2022-09-03 01:00:00,51.0,10.0,-3.3367157,0.9696808,11.693512,0.04949951,0.0,0.0
2022-09-03 02:00:00,51.0,10.0,-2.848999,0.6355591,10.967316,0.023986816,0.0,0.0
2022-09-03 03:00:00,51.0,10.0,-2.6568604,0.31829834,10.33902,0.15197754,0.0,0.0
2022-09-03 04:00:00,51.0,10.0,-2.9645386,0.18711853,10.221466,0.20425415,0.0,0.0
2022-09-03 05:00:00,51.0,10.0,-3.4331665,0.3284607,10.086456,0.022491455,0.0,10752.0
2022-09-03 06:00:00,51.0,10.0,-3.4116974,0.54618835,11.44632,0.1932373,0.0,277632.0
2022-09-03 07:00:00,51.0,10.0,-3.5628815,0.982254,13.8767395,0.34851074,0.0,486848.0
2022-09-03 08:00:00,51.0,10.0,-3.3923035,1.3712921,16.110382,0.21273804,0.0,569728.0
2022-09-03 09:00:00,51.0,10.0,-3.084961,1.6793976,18.184113,0.2829895,0.0,327616.0
2022-09-03 10:00:00,51.0,10.0,-3.286438,1.4635162,20.119781,1.0,1.1444092e-05,355072.0
2022-09-03 11:00:00,51.0,10.0,-3.0526123,0.9481964,20.970734,0.9902344,9.059906e-06,122240.0
2022-09-03 12:00:00,51.0,10.0,-2.8303223,1.351181,21.302887,0.98049927,7.1525574e-06,0.0
2022-09-03 13:00:00,51.0,10.0,-2.1943207,1.9260406,21.236115,0.9995117,0.0,0.0
2022-09-03 14:00:00,51.0,10.0,-1.4793396,1.7245483,20.531158,0.97024536,0.00017023087,0.0
2022-09-03 15:00:00,51.0,10.0,-1.2395477,2.4754791,20.130157,0.88427734,0.00060510635,10816.0
2022-09-03 16:00:00,51.0,10.0,-0.76509094,2.1814117,19.10379,0.9930115,0.0,0.0
2022-09-03 17:00:00,51.0,10.0,-1.0437775,0.63442993,18.440948,0.98876953,0.0004415512,0.0
2022-09-03 18:00:00,51.0,10.0,-1.9328003,0.018463135,16.862946,0.89352417,0.0,0.0
2022-09-03 19:00:00,51.0,10.0,-3.0046692,-0.33709717,15.131012,0.32473755,0.0,0.0
2022-09-03 20:00:00,51.0,10.0,-3.1620789,-0.1855774,14.889069,0.10723877,0.0,0.0
2022-09-03 21:00:00,51.0,10.0,-2.78656,-0.10192871,13.487701,0.24899292,0.0,0.0
2022-09-03 22:00:00,51.0,10.0,-2.5234222,0.4333954,15.171051,0.2000122,0.0,0.0
2022-09-03 23:00:00,51.0,10.0,-1.7408905,0.27503967,14.474823,0.20050049,0.0,0.0
2022-09-04 00:00:00,51.0,10.0,-1.1790009,0.4671173,13.899384,0.2142334,0.0,0.0
2022-09-04 01:00:00,51.0,10.0,-1.2314911,0.7887268,13.098724,0.2137146,0.0,0.0
2022-09-04 02:00:00,51.0,10.0,-1.1023254,0.6493225,12.042267,0.22598267,0.0,0.0
2022-09-04 03:00:00,51.0,10.0,-1.077774,0.50831604,11.258209,0.14251709,0.0,0.0
2022-09-04 04:00:00,51.0,10.0,-1.0522461,1.204071,10.6362,0.08572388,0.0,0.0
2022-09-04 05:00:00,51.0,10.0,-0.69818115,1.6086121,10.251007,0.12521362,0.0,7296.0
2022-09-04 06:00:00,51.0,10.0,-0.5923767,1.2328033,12.577484,0.052978516,0.0,229632.0
2022-09-04 07:00:00,51.0,10.0,-0.30241394,0.8516998,14.997406,0.040008545,0.0,492864.0
2022-09-04 08:00:00,51.0,10.0,0.12261963,0.9321594,17.641205,0.0074768066,0.0,528768.0
2022-09-04 09:00:00,51.0,10.0,0.43688965,0.8009186,19.78476,0.14273071,9.536743e-07,504960.0
2022-09-04 10:00:00,51.0,10.0,-0.07649231,0.56695557,21.544525,0.2397461,0.00011205673,246336.0
2022-09-04 11:00:00,51.0,10.0,-0.10446167,0.81370544,22.753937,0.27072144,0.0,215104.0
2022-09-04 12:00:00,51.0,10.0,-0.19900513,0.926651,23.725922,0.3119812,0.0,0.0
2022-09-04 13:00:00,51.0,10.0,0.3035431,1.1073761,24.259491,0.5004883,0.0,0.0
2022-09-04 14:00:00,51.0,10.0,0.5237274,1.2624207,24.498077,0.9947815,0.0,0.0
2022-09-04 15:00:00,51.0,10.0,0.5193939,1.3876038,25.110443,0.9777832,4.7683716e-06,0.0
2022-09-04 16:00:00,51.0,10.0,0.39541626,1.212143,24.752472,0.59124756,3.528595e-05,0.0
2022-09-04 17:00:00,51.0,10.0,0.3115692,1.4505157,23.718903,0.38952637,0.0,0.0
2022-09-04 18:00:00,51.0,10.0,0.09593201,1.792511,21.81839,0.70651245,0.0,0.0
2022-09-04 19:00:00,51.0,10.0,-0.15100098,1.7734528,20.67398,0.9367676,0.0,0.0
2022-09-04 20:00:00,51.0,10.0,-0.3638153,1.6938324,19.39505,0.9762573,0.0,0.0
2022-09-04 21:00:00,51.0,10.0,-0.9540405,1.524765,17.324432,0.9490051,0.0,0.0
2022-09-04 22:00:00,51.0,10.0,-1.2093506,0.374115,15.834869,0.65600586,0.0,0.0
2022-09-04 23:00:00,51.0,10.0,-1.3635254,0.3977356,14.603058,0.67477417,0.0,0.0
2022-09-05 00:00:00,51.0,10.0,-1.5044403,0.48675537,14.105743,0.84851074,0.0,0.0
2022-09-05 01:00:00,51.0,10.0,-1.1222382,0.2711029,13.371246,0.869751,0.0,0.0
2022-09-05 02:00:00,51.0,10.0,-1.1077881,0.3681488,12.967743,0.85824585,0.0,0.0
2022-09-05 03:00:00,51.0,10.0,-1.1818542,0.5635834,12.475128,0.8182678,0.0,0.0
2022-09-05 04:00:00,51.0,10.0,-1.2139893,0.7427063,12.106171,0.73202515,0.0,0.0
2022-09-05 05:00:00,51.0,10.0,-1.1579132,0.41401672,12.1058655,0.33322144,0.0,7232.0
2022-09-05 06:00:00,51.0,10.0,-1.7778168,0.1618042,14.230316,0.74172974,0.0,246208.0
2022-09-05 07:00:00,51.0,10.0,-1.4023438,0.19659424,16.833344,0.91000366,4.7683716e-07,455808.0
2022-09-05 08:00:00,51.0,10.0,-1.920227,0.4276123,19.643097,0.73049927,0.0,322496.0
2022-09-05 09:00:00,51.0,10.0,-1.8875427,0.95617676,22.165802,0.21273804,0.0,324544.0
2022-09-05 10:00:00,51.0,10.0,-2.5137024,1.4156494,23.959625,0.7544861,1.001358e-05,388480.0
2022-09-05 11:00:00,51.0,10.0,-1.5950317,1.5033875,25.13919,0.7682495,3.33786e-05,361472.0
2022-09-05 12:00:00,51.0,10.0,-1.4069061,1.0186157,25.457916,0.6477661,0.0,0.0
2022-09-05 13:00:00,51.0,10.0,-1.3328094,0.718338,25.97232,0.51000977,5.722046e-06,205760.0
2022-09-05 14:00:00,51.0,10.0,-1.662735,0.7993927,26.459747,0.51898193,0.0,0.0
2022-09-05 15:00:00,51.0,10.0,-1.6521759,0.8537903,26.769196,0.6472473,0.0,0.0
2022-09-05 16:00:00,51.0,10.0,-1.3947144,0.5999756,26.027985,0.92874146,0.0,0.0
2022-09-05 17:00:00,51.0,10.0,-1.5211029,0.4945526,25.017487,0.8277588,0.0,0.0
2022-09-05 18:00:00,51.0,10.0,-1.904541,0.41993713,23.70462,0.8680115,0.0,0.0
2022-09-05 19:00:00,51.0,10.0,-1.8386383,0.035079956,22.601898,0.7904968,0.0,0.0
2022-09-05 20:00:00,51.0,10.0,-2.5299072,0.12684631,21.312286,0.8782654,0.0,0.0
2022-09-05 21:00:00,51.0,10.0,-2.709259,0.12649536,20.27591,0.96047974,0.0,0.0
2022-09-05 22:00:00,51.0,10.0,-1.9488068,0.48632812,19.230865,0.65148926,0.0,0.0
2022-09-05 23:00:00,51.0,10.0,-2.6404572,0.08265686,18.039215,0.9790039,0.0,0.0
2022-09-06 00:00:00,51.0,10.0,-2.6884003,0.028411865,17.317596,0.9902344,0.0,0.0
2022-09-06 01:00:00,51.0,10.0,-3.1189117,-0.25715637,16.42807,0.9902344,0.0,0.0
2022-09-06 02:00:00,51.0,10.0,-2.0990753,0.35069275,15.568207,1.0,0.0,0.0
2022-09-06 03:00:00,51.0,10.0,-1.2062378,0.8468628,15.48526,0.98049927,0.0,0.0
2022-09-06 04:00:00,51.0,10.0,-1.7380676,1.0847931,15.36795,1.0,0.0,0.0
2022-09-06 05:00:00,51.0,10.0,-0.6269531,1.2662964,15.424408,0.980011,0.0,5376.0
2022-09-06 06:00:00,51.0,10.0,-1.1076965,1.0852356,16.139252,0.9670105,0.0,221376.0
2022-09-06 07:00:00,51.0,10.0,-1.5562286,0.74157715,17.722626,0.98150635,0.00013065338,113920.0
2022-09-06 08:00:00,51.0,10.0,-0.2850647,0.85801697,19.335114,0.8720703,0.0,288640.0
2022-09-06 09:00:00,51.0,10.0,-0.14216614,1.7948456,21.23233,0.18676758,0.0001335144,414272.0
2022-09-06 10:00:00,51.0,10.0,-1.6231079,2.513092,22.322418,0.14700317,0.0,644224.0
2022-09-06 11:00:00,51.0,10.0,-1.4681549,2.903366,23.470001,0.030731201,0.0,306880.0
2022-09-06 12:00:00,51.0,10.0,-0.8404999,2.4372253,24.688873,0.84124756,5.5789948e-05,237056.0
2022-09-06 13:00:00,51.0,10.0,-0.39945984,1.5611877,25.710968,0.8495178,0.0,0.0
2022-09-06 14:00:00,51.0,10.0,-0.5165863,1.5125275,26.477203,0.7619934,0.0,0.0
2022-09-06 15:00:00,51.0,10.0,0.22659302,1.5379181,27.28421,0.7077637,0.0,0.0
2022-09-06 16:00:00,51.0,10.0,-0.4202881,0.9140167,27.364166,0.23800659,0.0,0.0
2022-09-06 17:00:00,51.0,10.0,-0.94184875,1.3046112,25.496979,0.48599243,1.9073486e-06,0.0
2022-09-06 18:00:00,51.0,10.0,-1.4349976,1.1995087,22.708282,0.68048096,0.0,0.0
2022-09-06 19:00:00,51.0,10.0,-1.5514832,1.376648,20.365875,0.82199097,0.0,0.0
2022-09-06 20:00:00,51.0,10.0,-1.6186066,1.2732391,19.30191,1.0,0.0,0.0
2022-09-06 21:00:00,51.0,10.0,-1.5095062,1.1806641,18.296417,0.9987488,0.0,0.0
2022-09-06 22:00:00,51.0,10.0,-0.09754944,1.1894226,16.53653,0.98999023,0.0,0.0
2022-09-06 23:00:00,51.0,10.0,-1.070221,0.68699646,16.186554,0.9992676,0.0,0.0
2022-09-07 00:00:00,51.0,10.0,-1.2986603,0.23599243,15.936859,0.99975586,0.0,0.0
2022-09-07 01:00:00,51.0,10.0,-1.3838806,0.6653137,15.965118,1.0,0.0,0.0
2022-09-07 02:00:00,51.0,10.0,-1.3313293,1.7747345,16.40738,1.0,0.0,0.0
