time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230103:2030,0.0,0.0,0.0,0.0,0.0,5.51,3.31,0.0
20230103:2130,0.0,0.0,0.0,0.0,0.0,5.43,3.45,0.0
20230103:2230,0.0,0.0,0.0,0.0,0.0,5.53,3.72,0.0
20230103:2330,0.0,0.0,0.0,0.0,0.0,5.5,4.14,0.0
20230104:0030,0.0,0.0,0.0,0.0,0.0,5.55,4.41,0.0
20230104:0130,0.0,0.0,0.0,0.0,0.0,5.5,4.62,0.0
20230104:0230,0.0,0.0,0.0,0.0,0.0,5.74,5.1,0.0
20230104:0330,0.0,0.0,0.0,0.0,0.0,5.73,5.24,0.0
20230104:0430,0.0,0.0,0.0,0.0,0.0,5.63,5.38,0.0
20230104:0530,0.0,0.0,0.0,0.0,0.0,5.65,5.72,0.0
20230104:0630,0.0,0.0,0.0,0.0,0.0,5.84,6.0,0.0
20230104:0730,0.0,0.0,1.6,0.02,0.2,5.7,6.55,0.0
20230104:0830,3.1,0.0,11.9,0.18,6.92,5.89,6.76,0.0
20230104:0930,9.98,0.0,22.6,0.34,12.04,6.31,6.76,0.0
20230104:1030,19.48,0.0,35.44,0.53,15.19,6.88,7.03,0.0
20230104:1130,14.06,0.0,28.35,0.43,16.09,7.4,7.24,0.0
20230104:1230,13.67,0.0,27.86,0.42,14.65,7.76,7.03,0.0
20230104:1330,2.06,0.0,10.08,0.15,11.0,8.2,7.17,0.0
20230104:1430,0.02,0.0,5.57,0.08,5.47,8.49,7.31,0.0
20230104:1530,0.0,0.0,0.0,0.0,-1.57,8.8,7.24,0.0
20230104:1630,0.0,0.0,0.0,0.0,0.0,8.96,7.17,0.0
20230104:1730,0.0,0.0,0.0,0.0,0.0,9.11,7.03,0.0
20230104:1830,0.0,0.0,0.0,0.0,0.0,9.21,6.9,0.0
20230104:1930,0.0,0.0,0.0,0.0,0.0,8.95,6.83,0.0
20230104:2030,0.0,0.0,0.0,0.0,0.0,9.23,7.24,0.0
20230104:2130,0.0,0.0,0.0,0.0,0.0,9.47,7.52,0.0
20230104:2230,0.0,0.0,0.0,0.0,0.0,9.23,7.45,0.0
20230104:2330,0.0,0.0,0.0,0.0,0.0,9.02,7.31,0.0
20230105:0030,0.0,0.0,0.0,0.0,0.0,8.77,6.83,0.0
20230105:0130,0.0,0.0,0.0,0.0,0.0,8.81,6.34,0.0
20230105:0230,0.0,0.0,0.0,0.0,0.0,8.45,6.14,0.0
20230105:0330,0.0,0.0,0.0,0.0,0.0,8.29,6.0,0.0
20230105:0430,0.0,0.0,0.0,0.0,0.0,8.33,6.28,0.0
20230105:0530,0.0,0.0,0.0,0.0,0.0,8.43,6.0,0.0
20230105:0630,0.0,0.0,0.0,0.0,0.0,8.22,5.79,0.0
20230105:0730,0.0,0.0,3.97,0.06,0.24,8.02,6.0,0.0
20230105:0830,12.27,0.0,25.95,0.39,6.97,7.83,5.93,0.0
20230105:0930,38.12,0.0,58.67,0.88,12.11,8.12,6.34,0.0
20230105:1030,41.61,0.0,62.91,0.95,15.29,8.41,5.66,0.0
20230105:1130,37.97,0.0,58.67,0.88,16.2,8.77,4.97,0.0
20230105:1230,44.53,0.0,66.52,1.0,14.77,8.94,5.03,0.0
20230105:1330,22.21,0.0,39.23,0.59,11.14,8.83,5.59,0.0
20230105:1430,6.04,0.0,16.9,0.25,5.61,8.65,5.1,0.0
20230105:1530,0.0,0.0,0.0,0.0,-1.42,8.33,4.34,0.0
20230105:1630,0.0,0.0,0.0,0.0,0.0,7.96,3.93,0.0
20230105:1730,0.0,0.0,0.0,0.0,0.0,7.6,3.72,0.0
20230105:1830,0.0,0.0,0.0,0.0,0.0,7.65,3.45,0.0
20230105:1930,0.0,0.0,0.0,0.0,0.0,7.63,3.31,0.0
20230105:2030,0.0,0.0,0.0,0.0,0.0,7.58,3.1,0.0
20230105:2130,0.0,0.0,0.0,0.0,0.0,7.61,2.76,0.0
20230105:2230,0.0,0.0,0.0,0.0,0.0,7.55,2.34,0.0
20230105:2330,0.0,0.0,0.0,0.0,0.0,7.59,2.41,0.0
20230106:0030,0.0,0.0,0.0,0.0,0.0,7.71,2.55,0.0
20230106:0130,0.0,0.0,0.0,0.0,0.0,7.88,2.55,0.0
20230106:0230,0.0,0.0,0.0,0.0,0.0,8.04,2.48,0.0
20230106:0330,0.0,0.0,0.0,0.0,0.0,8.26,2.69,0.0
20230106:0430,0.0,0.0,0.0,0.0,0.0,8.49,2.69,0.0
20230106:0530,0.0,0.0,0.0,0.0,0.0,8.61,2.48,0.0
20230106:0630,0.0,0.0,0.0,0.0,0.0,8.73,2.83,0.0
20230106:0730,0.0,0.0,0.98,0.01,0.29,8.88,3.59,0.0
20230106:0830,3.79,0.0,13.24,0.2,7.03,9.07,4.41,0.0
20230106:0930,25.06,0.0,42.89,0.64,12.19,9.04,4.62,0.0
20230106:1030,36.99,0.0,57.56,0.86,15.39,9.04,4.9,0.0
20230106:1130,33.66,0.0,53.54,0.8,16.32,9.15,4.9,0.0
20230106:1230,21.46,0.0,38.34,0.58,14.9,9.28,5.17,0.0
20230106:1330,11.32,0.0,24.74,0.37,11.28,9.17,5.24,0.0
20230106:1430,5.63,0.0,16.27,0.24,5.76,9.22,5.17,0.0
20230106:1530,0.0,0.0,0.0,0.0,-1.27,9.19,5.17,0.0
20230106:1630,0.0,0.0,0.0,0.0,0.0,8.91,4.07,0.0
20230106:1730,0.0,0.0,0.0,0.0,0.0,8.7,3.66,0.0
