Datetime (UTC),temperature_2m,wind_speed_10m,wind_direction_10m,cloud_cover,shortwave_radiation,precipitation
2023-07-11 02:00:00,15.6,3.4,72,0,0.0,0.0
2023-07-11 03:00:00,15.0,4.7,99,0,0.0,0.0
2023-07-11 04:00:00,14.5,3.4,108,0,10.0,0.0
2023-07-11 05:00:00,16.2,3.0,104,4,94.0,0.0
2023-07-11 06:00:00,18.3,5.9,137,65,226.0,0.0
2023-07-11 07:00:00,20.4,7.9,137,18,377.0,0.0
2023-07-11 08:00:00,22.5,9.6,146,0,537.0,0.0
2023-07-11 09:00:00,24.9,9.0,164,0,675.0,0.0
2023-07-11 10:00:00,27.3,9.8,197,100,770.0,0.0
2023-07-11 11:00:00,29.1,9.8,204,81,809.0,0.0
2023-07-11 12:00:00,30.2,18.4,215,39,778.0,0.0
2023-07-11 13:00:00,31.2,16.8,239,0,825.0,0.0
2023-07-11 14:00:00,32.3,15.9,231,4,732.0,0.0
2023-07-11 15:00:00,31.6,14.1,251,0,668.0,0.0
2023-07-11 16:00:00,31.7,10.0,218,14,527.0,0.0
2023-07-11 17:00:00,30.8,13.5,254,100,367.0,0.0
2023-07-11 18:00:00,28.8,8.7,246,100,169.0,0.0
2023-07-11 19:00:00,25.8,4.1,308,100,52.0,0.0
2023-07-11 20:00:00,25.4,2.2,81,100,4.0,0.0
2023-07-11 21:00:00,24.4,3.3,174,100,0.0,0.0
2023-07-11 22:00:00,23.3,5.0,210,100,0.0,0.0
2023-07-11 23:00:00,22.6,5.4,172,100,0.0,0.1
2023-07-12 00:00:00,22.1,21.0,231,100,0.0,0.0
2023-07-12 01:00:00,20.4,18.6,224,100,0.0,0.0
2023-07-12 02:00:00,19.4,13.2,215,100,0.0,0.0
2023-07-12 03:00:00,19.6,13.3,218,100,0.0,0.0
2023-07-12 04:00:00,19.4,16.6,221,100,4.0,0.0
2023-07-12 05:00:00,19.6,17.4,232,100,29.0,0.0
2023-07-12 06:00:00,20.0,14.3,252,100,39.0,0.1
2023-07-12 07:00:00,18.0,14.3,309,73,166.0,2.0
2023-07-12 08:00:00,20.0,9.0,265,18,509.0,0.0
2023-07-12 09:00:00,20.9,15.6,285,34,638.0,0.0
2023-07-12 10:00:00,22.0,17.6,269,91,694.0,0.0
2023-07-12 11:00:00,22.5,17.3,275,57,594.0,0.0
2023-07-12 12:00:00,23.6,16.9,268,64,678.0,0.0
2023-07-12 13:00:00,24.2,17.0,265,99,724.0,0.0
2023-07-12 14:00:00,24.8,17.3,275,88,698.0,0.0
2023-07-12 15:00:00,24.8,15.5,275,0,632.0,0.0
2023-07-12 16:00:00,24.1,15.9,288,6,521.0,0.0
2023-07-12 17:00:00,23.2,13.2,292,90,366.0,0.0
2023-07-12 18:00:00,22.1,13.0,309,100,186.0,0.0
2023-07-12 19:00:00,20.1,10.2,321,25,65.0,0.0
2023-07-12 20:00:00,18.0,6.4,313,100,5.0,0.0
2023-07-12 21:00:00,16.3,6.9,317,83,0.0,0.0
2023-07-12 22:00:00,15.5,6.2,324,52,0.0,0.0
2023-07-12 23:00:00,15.4,3.3,283,100,0.0,0.0
2023-07-13 00:00:00,14.7,6.6,315,72,0.0,0.0
2023-07-13 01:00:00,14.2,6.9,313,58,0.0,0.0
2023-07-13 02:00:00,13.6,4.8,318,58,0.0,0.0
2023-07-13 03:00:00,13.3,4.7,274,10,0.0,0.0
2023-07-13 04:00:00,12.4,4.6,288,61,7.0,0.0
2023-07-13 05:00:00,14.1,3.6,276,94,87.0,0.0
2023-07-13 06:00:00,16.2,6.3,257,53,216.0,0.0
2023-07-13 07:00:00,17.5,10.5,276,0,391.0,0.0
2023-07-13 08:00:00,18.8,12.4,260,38,538.0,0.0
2023-07-13 09:00:00,19.7,14.0,258,98,588.0,0.0
2023-07-13 10:00:00,20.6,15.5,269,97,558.0,0.0
2023-07-13 11:00:00,21.6,16.2,271,100,548.0,0.0
2023-07-13 12:00:00,21.8,15.6,262,100,539.0,0.0
2023-07-13 13:00:00,22.2,17.3,266,97,627.0,0.0
2023-07-13 14:00:00,22.8,19.1,258,64,578.0,0.0
2023-07-13 15:00:00,22.2,14.4,270,94,576.0,0.0
2023-07-13 16:00:00,21.4,15.1,273,100,391.0,0.0
2023-07-13 17:00:00,21.1,12.0,279,100,319.0,0.0
2023-07-13 18:00:00,19.9,11.1,283,100,121.0,0.0
2023-07-13 19:00:00,17.9,12.4,334,58,38.0,0.0
2023-07-13 20:00:00,15.6,9.7,338,100,4.0,0.0
2023-07-13 21:00:00,14.7,6.6,338,53,0.0,0.0
2023-07-13 22:00:00,14.1,2.2,270,96,0.0,0.0
2023-07-13 23:00:00,13.7,1.8,259,56,0.0,0.0
2023-07-14 00:00:00,13.1,2.6,236,100,0.0,0.0
2023-07-14 01:00:00,12.9,2.7,157,55,0.0,0.1
2023-07-14 02:00:00,12.2,2.4,207,0,0.0,0.0
2023-07-14 03:00:00,11.4,3.3,167,30,0.0,0.0
2023-07-14 04:00:00,11.5,1.1,198,92,8.0,0.0
2023-07-14 05:00:00,12.3,2.9,150,100,71.0,0.0
2023-07-14 06:00:00,14.4,3.9,146,77,167.0,0.0
2023-07-14 07:00:00,17.0,4.8,153,8,369.0,0.0
2023-07-14 08:00:00,19.1,7.7,152,100,525.0,0.0
2023-07-14 09:00:00,21.0,7.3,171,92,550.0,0.0
2023-07-14 10:00:00,22.2,10.5,196,49,663.0,0.0
2023-07-14 11:00:00,23.8,12.1,217,100,677.0,0.0
2023-07-14 12:00:00,23.1,10.0,193,100,520.0,0.0
2023-07-14 13:00:00,24.5,11.5,200,98,536.0,0.0
2023-07-14 14:00:00,24.1,10.7,168,100,448.0,0.0
2023-07-14 15:00:00,24.8,12.6,182,93,439.0,0.0
2023-07-14 16:00:00,25.2,9.8,204,40,399.0,0.0
2023-07-14 17:00:00,24.6,7.3,189,15,359.0,0.0
2023-07-14 18:00:00,23.9,7.4,151,100,199.0,0.0
2023-07-14 19:00:00,21.7,4.3,114,55,67.0,0.0
2023-07-14 20:00:00,20.2,4.7,94,21,4.0,0.0
2023-07-14 21:00:00,19.5,4.6,129,41,0.0,0.0
2023-07-14 22:00:00,18.5,5.2,124,48,0.0,0.0
2023-07-14 23:00:00,17.5,5.1,129,15,0.0,0.0
2023-07-15 00:00:00,16.9,5.0,120,0,0.0,0.0
2023-07-15 01:00:00,16.2,3.8,131,39,0.0,0.0
2023-07-15 02:00:00,15.5,4.6,129,33,0.0,0.0
2023-07-15 03:00:00,14.7,4.1,142,8,0.0,0.0
2023-07-15 04:00:00,14.8,4.8,132,0,7.0,0.0
2023-07-15 05:00:00,15.6,4.4,125,100,82.0,0.0
2023-07-15 06:00:00,18.7,6.6,139,62,216.0,0.0
2023-07-15 07:00:00,20.9,8.0,153,3,369.0,0.0
2023-07-15 08:00:00,23.8,11.4,152,100,501.0,0.0
2023-07-15 09:00:00,27.4,10.9,171,100,472.0,0.0
2023-07-15 10:00:00,28.3,15.4,217,100,460.0,0.0
2023-07-15 11:00:00,28.2,12.4,248,100,384.0,0.0
2023-07-15 12:00:00,27.4,9.1,252,100,390.0,0.0
2023-07-15 13:00:00,29.4,17.9,208,100,437.0,0.0
2023-07-15 14:00:00,29.6,17.3,225,100,522.0,0.0
2023-07-15 15:00:00,27.6,17.3,222,100,350.0,0.0
2023-07-15 16:00:00,25.6,20.7,257,100,121.0,0.0
2023-07-15 17:00:00,22.0,19.9,248,100,72.0,0.0
2023-07-15 18:00:00,22.0,8.8,199,71,61.0,0.9
2023-07-15 19:00:00,21.0,6.1,152,24,45.0,0.0
2023-07-15 20:00:00,20.1,4.5,166,68,3.0,0.0
2023-07-15 21:00:00,19.6,5.9,191,100,0.0,0.0
2023-07-15 22:00:00,19.3,8.8,199,100,0.0,0.1
2023-07-15 23:00:00,18.5,7.5,197,100,0.0,0.1
2023-07-16 00:00:00,18.2,9.7,184,100,0.0,0.2
2023-07-16 01:00:00,18.5,13.6,202,100,0.0,0.1
2023-07-16 02:00:00,18.0,14.2,207,100,0.0,0.7
2023-07-16 03:00:00,17.6,14.3,229,50,0.0,0.0
2023-07-16 04:00:00,17.0,16.4,230,46,6.0,0.0
2023-07-16 05:00:00,16.8,14.6,232,69,77.0,0.0
2023-07-16 06:00:00,17.5,16.6,231,42,190.0,0.0
2023-07-16 07:00:00,18.4,19.7,239,95,335.0,0.0
2023-07-16 08:00:00,19.5,19.9,235,38,504.0,0.0
2023-07-16 09:00:00,20.7,19.9,229,97,657.0,0.0
2023-07-16 10:00:00,21.9,21.4,229,68,776.0,0.0
2023-07-16 11:00:00,22.2,22.9,224,66,704.0,0.0
2023-07-16 12:00:00,22.8,20.6,223,7,762.0,0.0
2023-07-16 13:00:00,23.4,20.4,225,9,786.0,0.0
2023-07-16 14:00:00,24.1,17.2,233,0,761.0,0.0
2023-07-16 15:00:00,24.6,17.0,234,5,590.0,0.0
2023-07-16 16:00:00,24.0,16.9,232,0,529.0,0.0
2023-07-16 17:00:00,23.1,11.8,239,93,353.0,0.0
2023-07-16 18:00:00,22.1,7.9,219,28,178.0,0.0
2023-07-16 19:00:00,20.0,5.0,249,86,67.0,0.0
2023-07-16 20:00:00,17.6,5.7,252,0,3.0,0.0
2023-07-16 21:00:00,16.8,5.9,256,0,0.0,0.0
2023-07-16 22:00:00,15.8,4.5,256,0,0.0,0.0
2023-07-16 23:00:00,14.9,4.8,257,0,0.0,0.0
2023-07-17 00:00:00,14.3,4.3,222,67,0.0,0.0
2023-07-17 01:00:00,14.2,4.5,209,81,0.0,0.0
2023-07-17 02:00:00,14.1,3.0,194,55,0.0,0.0
2023-07-17 03:00:00,12.3,3.7,169,8,0.0,0.0
2023-07-17 04:00:00,11.9,4.0,170,0,7.0,0.0
2023-07-17 05:00:00,13.7,4.7,184,0,85.0,0.0
2023-07-17 06:00:00,16.9,9.2,225,0,224.0,0.0
2023-07-17 07:00:00,18.4,10.8,240,16,386.0,0.0
2023-07-17 08:00:00,20.1,10.6,242,41,538.0,0.0
2023-07-17 09:00:00,21.6,15.3,246,29,556.0,0.0
2023-07-17 10:00:00,22.5,15.9,245,100,636.0,0.0
2023-07-17 11:00:00,22.5,20.2,248,61,595.0,0.0
2023-07-17 12:00:00,23.3,16.2,258,95,618.0,0.0
2023-07-17 13:00:00,23.6,19.3,256,80,684.0,0.0
2023-07-17 14:00:00,23.3,14.9,263,57,497.0,0.0
2023-07-17 15:00:00,23.6,17.4,263,41,572.0,0.0
2023-07-17 16:00:00,23.0,14.3,288,6,438.0,0.0
2023-07-17 17:00:00,22.2,13.4,275,58,311.0,0.0
2023-07-17 18:00:00,21.4,12.4,287,76,160.0,0.0
2023-07-17 19:00:00,16.8,28.4,331,70,40.0,0.0
2023-07-17 20:00:00,14.2,15.0,333,0,2.0,0.0
2023-07-17 21:00:00,13.6,13.6,328,52,0.0,0.0
2023-07-17 22:00:00,13.0,7.0,325,14,0.0,0.0
2023-07-17 23:00:00,11.6,2.2,279,19,0.0,0.0
2023-07-18 00:00:00,10.5,2.9,277,75,0.0,0.0
2023-07-18 01:00:00,10.4,3.6,276,73,0.0,0.0
2023-07-18 02:00:00,10.0,4.0,280,67,0.0,0.0
2023-07-18 03:00:00,9.6,4.8,283,41,0.0,0.0
2023-07-18 04:00:00,9.4,2.6,236,40,7.0,0.0
2023-07-18 05:00:00,10.8,2.2,171,0,85.0,0.0
2023-07-18 06:00:00,13.3,3.0,166,0,228.0,0.0
2023-07-18 07:00:00,15.8,5.1,176,0,387.0,0.0
2023-07-18 08:00:00,17.8,5.1,176,100,540.0,0.0
