time,P,G(i),H_sun,T2m,WS10m,Int
20220113:1610,0.0,0.0,0.0,1.5,2.48,0.0
20220113:1710,0.0,0.0,0.0,0.81,2.34,0.0
20220113:1810,0.0,0.0,0.0,0.45,2.21,0.0
20220113:1910,0.0,0.0,0.0,-0.05,2.21,0.0
20220113:2010,0.0,0.0,0.0,-0.19,2.14,0.0
20220113:2110,0.0,0.0,0.0,-0.26,2.07,0.0
20220113:2210,0.0,0.0,0.0,-0.29,2.14,0.0
20220113:2310,0.0,0.0,0.0,-0.27,2.28,0.0
20220114:0010,0.0,0.0,0.0,-0.26,2.28,0.0
20220114:0110,0.0,0.0,0.0,-0.18,2.28,0.0
20220114:0210,0.0,0.0,0.0,-0.19,2.28,0.0
20220114:0310,0.0,0.0,0.0,-0.23,2.21,0.0
20220114:0410,0.0,0.0,0.0,-0.31,2.21,0.0
20220114:0510,0.0,0.0,0.0,-0.32,2.14,0.0
20220114:0610,0.0,0.0,0.0,-0.39,2.21,0.0
20220114:0710,0.0,0.0,0.0,-1.07,2.34,0.0
20220114:0810,23.97,54.42,5.66,-0.6,2.34,0.0
20220114:0910,113.05,170.01,11.59,-0.04,1.93,0.0
20220114:1010,174.23,230.01,15.68,1.55,2.0,0.0
20220114:1110,58.2,82.0,17.58,2.87,2.28,0.0
20220114:1210,34.24,54.0,17.09,3.53,2.55,0.0
20220114:1310,34.21,54.0,14.27,3.73,2.76,0.0
20220114:1410,31.49,51.0,9.38,3.61,2.48,0.0
20220114:1510,0.0,3.0,2.82,2.73,1.86,0.0
20220114:1610,0.0,0.0,0.0,1.88,1.86,0.0
20220114:1710,0.0,0.0,0.0,1.68,1.66,0.0
20220114:1810,0.0,0.0,0.0,1.51,1.52,0.0
20220114:1910,0.0,0.0,0.0,1.25,1.38,0.0
20220114:2010,0.0,0.0,0.0,1.37,1.31,0.0
20220114:2110,0.0,0.0,0.0,1.37,1.1,0.0
20220114:2210,0.0,0.0,0.0,1.45,0.9,0.0
20220114:2310,0.0,0.0,0.0,1.42,0.9,0.0
20220115:0010,0.0,0.0,0.0,1.46,0.83,0.0
20220115:0110,0.0,0.0,0.0,1.47,0.76,0.0
