actual_price,actual_P,hour,day_of_week,month,is_weekend,cloud_cover,predicted_price_h1,predicted_price_h2,predicted_price_h3,predicted_price_h4,predicted_price_h5,predicted_price_h6,predicted_price_h7,predicted_price_h8,predicted_price_h9,predicted_price_h10,predicted_price_h11,predicted_price_h12,predicted_price_h13,predicted_price_h14,predicted_price_h15,predicted_price_h16,predicted_price_h17,predicted_price_h18,predicted_price_h19,predicted_price_h20,predicted_price_h21,predicted_price_h22,predicted_price_h23,predicted_price_h24,predicted_P_h1,predicted_P_h2,predicted_P_h3,predicted_P_h4,predicted_P_h5,predicted_P_h6,predicted_P_h7,predicted_P_h8,predicted_P_h9,predicted_P_h10,predicted_P_h11,predicted_P_h12,predicted_P_h13,predicted_P_h14,predicted_P_h15,predicted_P_h16,predicted_P_h17,predicted_P_h18,predicted_P_h19,predicted_P_h20,predicted_P_h21,predicted_P_h22,predicted_P_h23,predicted_P_h24
38.34,588.34,8,2,5,0,97,31.595835,26.728159,22.414898,18.067472,16.513168,18.85499,32.315403,44.199528,39.89798,36.892147,33.825222,27.488022,23.14301,22.093103,16.093681,20.16465,17.918602,18.047651,23.97845,27.083672,36.055477,38.347824,32.229294,23.828878,639.61896,680.6649,671.43256,641.033,560.75165,437.44577,293.31348,159.80064,51.0862,35.298016,22.725338,10.408991,14.087366,10.149484,8.425941,14.747502,17.429098,32.409092,76.46277,90.01204,160.04115,307.6093,431.9965,560.66815
36.0,695.88,9,2,5,0,63,29.647743,24.776917,22.00779,23.96414,26.0625,32.894,46.92373,41.618397,35.27531,32.441696,28.393164,23.745398,21.628317,20.0286,15.497755,18.11338,17.298004,20.463352,28.823143,33.588696,38.161224,31.369162,26.21893,21.631498,705.23584,708.6198,650.7745,545.1835,435.08914,286.71924,156.83841,67.926,52.18467,40.028374,26.729412,17.910694,18.147957,15.068111,10.131683,18.092886,30.883009,44.5649,92.70384,170.37538,307.80014,426.50763,536.5051,641.10864
32.37,756.09,10,2,5,0,71,26.88335,23.925997,25.28727,29.152534,38.28651,46.946255,49.93555,45.01986,37.75921,32.314434,24.398256,20.309767,21.071802,19.890894,17.599594,24.0708,27.583366,34.847107,41.28924,44.555824,40.775948,33.022312,25.043211,21.467909,712.52,629.9627,555.67084,433.34973,291.2048,152.3775,72.803246,38.625286,36.16079,21.755531,9.230467,6.2807226,8.630802,9.411931,6.3043714,16.14351,39.273037,74.38359,159.44264,308.24152,460.573,595.42004,638.4011,676.7182
28.24,756.57,11,2,5,0,70,23.71817,27.236244,31.339935,39.66338,50.19754,50.655384,46.59212,38.723003,33.269817,26.809185,19.777906,19.073418,19.332079,18.439566,18.888088,30.80567,40.177,46.851833,52.19155,42.88068,38.350887,31.69744,24.421257,20.815765,693.2123,577.7843,421.63696,277.09714,157.95595,64.31099,19.148182,17.435986,25.525976,17.858662,6.959335,2.834309,7.6640563,10.263087,6.326862,20.896341,70.200035,156.23274,295.0438,442.02673,585.61444,674.97815,668.6436,640.96576
25.64,720.22,12,2,5,0,80,25.110924,30.555859,41.764576,48.565987,47.146484,46.413258,41.742767,32.725105,27.697306,22.260958,18.15693,17.694668,16.378984,15.778894,23.480225,43.35674,47.238163,53.530354,47.953495,40.56151,35.336193,28.654522,20.207224,18.397469,574.2751,449.39703,286.6615,138.31384,63.54481,21.481861,6.224644,21.92721,22.598368,14.664483,6.866071,5.68739,9.591953,15.183465,13.800627,57.669827,150.7769,289.34146,416.52948,543.06836,632.52405,659.3791,645.3259,553.6173
22.71,647.86,13,2,5,0,98,27.299318,37.694565,42.909008,45.079887,41.05298,33.465973,26.578382,22.25532,17.741405,14.3684,12.156066,14.603476,12.509473,16.038486,29.683643,40.92752,43.17987,44.23044,39.509525,34.44281,28.13462,22.008047,16.284733,15.560245,449.85635,310.9551,144.56921,49.42902,31.66412,14.44433,18.581783,24.23092,33.52297,20.895947,19.240034,17.506813,23.139072,25.924088,51.47721,137.535,292.90396,443.59622,559.9785,638.6117,674.96796,679.8539,618.071,508.27713
34.4,527.72,14,2,5,0,88,40.969048,50.03245,52.715412,49.866577,38.320347,32.86052,22.987957,16.712376,14.1954365,13.470784,14.784074,17.637657,19.963047,35.498085,42.600243,49.844162,48.043144,40.167934,32.544113,24.06181,16.194695,11.349663,15.934443,22.364628,297.63293,162.1101,56.77386,28.194872,13.6319275,17.561436,21.951374,27.658983,42.84623,35.85425,29.30402,26.610662,24.127403,52.512634,132.53462,277.18417,432.9816,547.3202,633.11505,673.8018,664.3419,623.9161,556.8291,415.29657
37.95,373.21,15,2,5,0,77,45.256348,50.700302,46.930214,43.22321,33.326405,25.35285,19.770777,15.775751,13.203003,13.552495,15.780461,19.201473,26.334156,35.39398,40.3893,50.20734,42.065414,32.151836,26.05346,19.853052,17.230976,19.461523,21.977375,25.368635,187.71832,73.46973,35.997814,17.052727,21.547068,13.675895,14.428768,25.423143,42.389156,36.166115,28.653618,34.9141,44.301346,122.98172,259.8681,405.88693,526.2554,647.2606,655.12305,686.91705,658.2931,588.19257,481.09735,289.13104
43.04,221.59,16,2,5,0,94,49.999023,50.73893,44.98194,40.538708,32.941544,25.284912,19.014292,16.179462,14.934184,15.921558,21.338425,29.798876,40.472904,46.438522,51.365234,46.10924,38.55205,34.259842,29.845598,25.49227,27.256742,27.003225,35.09369,45.170624,103.78837,41.559914,33.957653,15.222744,12.793352,13.919732,17.818222,24.426052,44.918,39.955097,40.22351,69.434364,132.8831,243.14574,385.92535,498.1954,628.5592,667.8133,675.4036,628.9965,534.2197,451.08423,324.0098,202.45126
47.9,104.15,17,2,5,0,98,50.885162,50.267746,47.031918,40.980007,36.205265,30.167439,29.116385,21.522352,24.744473,27.364983,36.428074,49.21079,52.587788,57.628242,51.887405,42.095097,36.960857,35.54913,34.030464,32.19705,34.047882,41.246395,50.254364,53.457222,38.611565,10.627531,14.184777,9.779305,12.402245,10.363336,23.717047,26.577192,49.416924,47.340588,55.33912,130.57314,245.37283,384.7728,491.4658,606.6159,730.1228,701.67773,662.55365,534.66925,428.95966,309.69662,185.26587,67.51406
